method,progress,in_mb,out_mb,last_group_mb,elapsed_s,speed_mbps,groups,rows,compression_ratio
adaptive,13.0,10063.0,3233.4,39.1,150.7,66.8,78,13176923,0.32131571102057044
adaptive,13.2,10193.0,3271.7,38.2,152.6,66.8,79,13346070,0.3209751790444422
adaptive,13.3,10323.1,3310.0,38.3,154.5,66.8,80,13515271,0.3206401177940735
adaptive,13.5,10453.3,3348.1,38.1,156.3,66.9,81,13684711,0.32029119990816296
adaptive,13.7,10583.6,3386.2,38.1,158.2,66.9,82,13854448,0.3199478438338561
adaptive,13.8,10713.9,3424.4,38.2,160.1,66.9,83,14024253,0.31962217306489704
adaptive,14.0,10844.3,3463.2,38.8,161.9,67.0,84,14193957,0.31935671274310007
adaptive,14.2,10974.8,3501.8,38.6,163.9,67.0,85,14363693,0.31907642963880894
adaptive,14.4,11105.3,3541.7,39.9,165.8,67.0,86,14534169,0.31891979505281265
adaptive,14.5,11234.9,3586.4,44.7,167.9,66.9,87,14718490,0.31921957471806606
adaptive,14.7,11364.6,3624.1,37.8,169.8,66.9,88,14898049,0.31889375780933776
adaptive,14.9,11493.8,3663.6,39.5,171.7,66.9,89,15069065,0.3187457585828882
adaptive,15.0,11623.3,3696.7,33.0,173.8,66.9,90,15256841,0.31804220832293756
adaptive,15.2,11753.1,3722.7,26.1,175.7,66.9,91,15452368,0.31674196594940907
adaptive,15.4,11882.6,3751.8,29.1,177.6,66.9,92,15637606,0.3157389796845808
adaptive,15.5,12011.9,3782.8,31.0,179.6,66.9,93,15826473,0.31492103663866666
adaptive,15.7,12140.8,3809.0,26.2,181.5,66.9,94,16019781,0.31373550342646284
adaptive,15.9,12269.9,3839.3,30.3,183.5,66.9,95,16213787,0.3129039356473973
adaptive,16.0,12398.5,3866.4,27.2,185.3,66.9,96,16393922,0.31184417469855225
adaptive,16.2,12526.9,3886.4,20.0,187.1,67.0,97,16568524,0.3102443541498695
adaptive,16.4,12655.3,3906.0,19.6,188.8,67.0,98,16743037,0.3086453896786327
adaptive,16.5,12784.6,3937.1,31.1,190.7,67.0,99,16917240,0.30795644760102
adaptive,16.7,12913.8,3973.9,36.8,192.6,67.1,100,17093401,0.307725069305704
adaptive,16.9,13043.3,4006.4,32.5,194.5,67.0,101,17289824,0.3071615312075932
adaptive,17.0,13172.5,4035.8,29.4,196.6,67.0,102,17499775,0.30638071740368195
adaptive,17.2,13301.7,4065.3,29.6,198.5,67.0,103,17684649,0.30562258959381133
adaptive,17.4,13430.5,4108.2,42.9,200.4,67.0,104,17856052,0.30588585681843566
adaptive,17.5,13559.3,4153.8,45.6,202.3,67.0,105,18014746,0.3063432478077777
adaptive,17.7,13689.2,4196.8,43.0,204.3,67.0,106,18194751,0.3065774479151448
adaptive,17.9,13819.4,4233.5,36.7,206.3,67.0,107,18385028,0.30634470382216306
adaptive,18.0,13948.8,4279.1,45.7,208.0,67.1,108,18534169,0.30677190869465476
adaptive,18.2,14077.8,4318.0,38.9,209.9,67.1,109,18717007,0.30672406199832364
adaptive,18.4,14206.7,4351.0,33.0,212.0,67.0,110,18910525,0.3062639458846882
adaptive,18.5,14336.1,4384.4,33.4,213.9,67.0,111,19098545,0.3058293399181088
adaptive,18.7,14465.5,4420.4,36.0,215.7,67.1,112,19272947,0.3055822474162663
adaptive,18.9,14594.9,4452.9,32.5,217.6,67.1,113,19456067,0.3050997266168319
adaptive,19.0,14725.6,4483.7,30.8,219.7,67.0,114,19665435,0.3044833487260281
adaptive,19.2,14856.4,4514.2,30.5,221.8,67.0,115,19875583,0.30385557739425434
adaptive,19.4,14987.2,4544.5,30.3,223.8,67.0,116,20086306,0.303225419024234
adaptive,19.5,15117.9,4575.6,31.1,225.9,66.9,117,20295781,0.30266108388069773
adaptive,19.7,15248.7,4606.5,30.8,228.0,66.9,118,20506028,0.30209132581793857
adaptive,19.9,15379.1,4637.1,30.6,230.1,66.8,119,20716116,0.30151959477472673
adaptive,20.0,15509.6,4668.1,30.9,232.3,66.8,120,20927598,0.30098132769381547
adaptive,20.2,15639.6,4704.1,36.1,234.3,66.8,121,21126386,0.30078134990664723
adaptive,20.4,15769.1,4741.4,37.3,236.3,66.7,122,21307583,0.3006766397575004
adaptive,20.5,15900.3,4774.0,32.6,238.4,66.7,123,21510749,0.300245907309925
